Profundidade[m]	Densidade_Aparente_Seca[g/cm3]
5105.9816	2.389433
5106.134	2.391878
5106.2864	2.415993
5106.4388	2.417104
5106.5912	2.399749
5106.7436	2.391663
5106.896	2.380147
5107.0484	2.376127
5107.2008	2.376331
5107.3532	2.371509
5107.5056	2.379434
5107.658	2.389896
5107.8104	2.38152
5107.9628	2.368303
5108.1152	2.359069
5108.2676	2.360048
5108.42	2.359155
5108.5724	2.368936
5108.7248	2.396942
5108.8772	2.447505
5109.0296	2.493557
5109.182	2.50332
5109.3344	2.452429
5109.4868	2.385773
5109.6392	2.365122
5109.7916	2.357826
5109.944	2.350266
5110.0964	2.343243
5110.2488	2.331775
5110.4012	2.35542
5110.5536	2.359399
5110.706	2.375832
5110.8584	2.391384
5111.0108	2.442004
5111.1632	2.454441
5111.3156	2.430827
5111.468	2.408844
5111.6204	2.402365
5111.7728	2.403497
5111.9252	2.389513
5112.0776	2.378311
5112.23	2.379138
5112.3824	2.398314
5112.5348	2.39798
5112.6872	2.387127
5112.8396	2.381208
5112.992	2.39067
5113.1444	2.392459
5113.2968	2.394284
5113.4492	2.399246
5113.6016	2.410001
5113.754	2.404996
5113.9064	2.394285
5114.0588	2.390949
5114.2112	2.392723
5114.3636	2.390438
5114.516	2.383218
5114.6684	2.373849
5114.8208	2.365145
5114.9732	2.367733
5115.1256	2.354635
5115.278	2.353241
5115.4304	2.354368
5115.5828	2.363193
5115.7352	2.370994
5115.8876	2.405325
5116.04	2.449552
5116.1924	2.458655
5116.3448	2.398056
5116.4972	2.329209
5116.6496	2.332441
5116.802	2.331366
5116.9544	2.326525
5117.1068	2.323143
5117.2592	2.337053
5117.4116	2.362045
5117.564	2.359096
5117.7164	2.364212
5117.8688	2.368681
5118.0212	2.350386
5118.1736	2.339022
5118.326	2.340086
5118.4784	2.354041
5118.6308	2.380458
5118.7832	2.395963
5118.9356	2.401787
5119.088	2.388163
5119.2404	2.367747
5119.3928	2.354168
5119.5452	2.377227
5119.6976	2.396818
5119.85	2.403463
5120.0024	2.383053
5120.1548	2.375818
5120.3072	2.388798
5120.4596	2.414137
5120.612	2.43535
5120.7644	2.400265
5120.9168	2.359742
5121.0692	2.358217
5121.2216	2.366613
5121.374	2.374226
5121.5264	2.418536
5121.6788	2.434501
