Profundidade[m]	Idade[Ma]
5105.9816	84.0020673
5106.134	84.0060471
5106.2864	84.010027
5106.4388	84.0140069
5106.5912	84.0179868
5106.7436	84.0219666
5106.896	84.0259465
5107.0484	84.0299264
5107.2008	84.0339062
5107.3532	84.0378861
5107.5056	84.041866
5107.658	84.0458459
5107.8104	84.0498257
5107.9628	84.0538056
5108.1152	84.0577855
5108.2676	84.0617654
5108.42	84.0657452
5108.5724	84.0697251
5108.7248	84.073705
5108.8772	84.0776848
5109.0296	84.0816647
5109.182	84.0856446
5109.3344	84.0896245
5109.4868	84.0936043
5109.6392	84.0975842
5109.7916	84.1015641
5109.944	84.1055439
5110.0964	84.1095238
5110.2488	84.1135037
5110.4012	84.1174836
5110.5536	84.1214634
5110.706	84.1254433
5110.8584	84.1294232
5111.0108	84.1334031
5111.1632	84.1373829
5111.3156	84.1413628
5111.468	84.1453427
5111.6204	84.1493225
5111.7728	84.1533024
5111.9252	84.1572823
5112.0776	84.1612622
5112.23	84.165242
5112.3824	84.1692219
5112.5348	84.1732018
5112.6872	84.1771817
5112.8396	84.1811615
5112.992	84.1851414
5113.1444	84.1891213
5113.2968	84.1931011
5113.4492	84.197081
5113.6016	84.2010609
5113.754	84.2050408
5113.9064	84.2090206
5114.0588	84.2130005
5114.2112	84.2169804
5114.3636	84.2209603
5114.516	84.2249401
5114.6684	84.22892
5114.8208	84.2328999
5114.9732	84.2368797
5115.1256	84.2408596
5115.278	84.2448395
5115.4304	84.2488194
5115.5828	84.2527992
5115.7352	84.2567791
5115.8876	84.260759
5116.04	84.2647389
5116.1924	84.2687187
5116.3448	84.2726986
5116.4972	84.2766785
5116.6496	84.2806583
5116.802	84.2846382
5116.9544	84.2886181
5117.1068	84.292598
5117.2592	84.2965778
5117.4116	84.3005577
5117.564	84.3045376
5117.7164	84.3085175
5117.8688	84.3124973
5118.0212	84.3164772
5118.1736	84.3204571
5118.326	84.3244369
5118.4784	84.3284168
5118.6308	84.3323967
5118.7832	84.3363766
5118.9356	84.3403564
5119.088	84.3443363
5119.2404	84.3483162
5119.3928	84.3522961
5119.5452	84.3562759
5119.6976	84.3602558
5119.85	84.3642357
5120.0024	84.3682155
5120.1548	84.3721954
5120.3072	84.3761753
5120.4596	84.3801552
5120.612	84.384135
5120.7644	84.3881149
5120.9168	84.3920948
5121.0692	84.3960746
5121.2216	84.4000545
5121.374	84.4040344
5121.5264	84.4080143
5121.6788	84.4119941
5121.8312	84.415974
5121.9836	84.4199539
5122.136	84.4239338
5122.2884	84.4279136
5122.4408	84.4318935
5122.5932	84.4358734
5122.7456	84.4398532
5122.898	84.4438331
5123.0504	84.447813
5123.2028	84.4517929
5123.3552	84.4557727
5123.5076	84.4597526
5123.66	84.4637325
5123.8124	84.4677124
5123.9648	84.4716922
5124.1172	84.4756721
5124.2696	84.479652
5124.422	84.4836318
5124.5744	84.4876117
