Profundidade[m]	Produtividade_Primaria[gC/m²/yr]
5105.9816	
5106.134	229.7135316
5106.2864	229.7072908
5106.4388	229.7072908
5106.5912	229.7072908
5106.7436	229.7135316
5106.896	229.7072908
5107.0484	229.7072908
5107.2008	229.7135316
5107.3532	229.7072908
5107.5056	229.7072908
5107.658	229.7072908
5107.8104	229.7135316
5107.9628	229.7072908
5108.1152	229.7072908
5108.2676	229.7072908
5108.42	229.7135316
5108.5724	229.7072908
5108.7248	229.7072908
5108.8772	229.7135316
5109.0296	229.7072908
5109.182	229.7072908
5109.3344	229.7072908
5109.4868	229.7135316
5109.6392	229.7072908
5109.7916	229.7072908
5109.944	229.7135316
5110.0964	229.7072908
5110.2488	229.7072908
5110.4012	229.7072908
5110.5536	229.7135316
5110.706	229.7072908
5110.8584	229.7072908
5111.0108	229.7072908
5111.1632	229.7135316
5111.3156	229.7072908
5111.468	229.7072908
5111.6204	229.7135316
5111.7728	229.7072908
5111.9252	229.7072908
5112.0776	229.7072908
5112.23	229.7135316
5112.3824	229.7072908
5112.5348	229.7072908
5112.6872	229.7072908
5112.8396	229.7135316
5112.992	229.7072908
5113.1444	229.7072908
5113.2968	229.7135316
5113.4492	229.7072908
5113.6016	229.7072908
5113.754	229.7072908
5113.9064	229.7135316
5114.0588	229.7072908
5114.2112	229.7072908
5114.3636	229.7072908
5114.516	229.7135316
5114.6684	229.7072908
5114.8208	229.7072908
5114.9732	229.7135316
5115.1256	229.7072908
5115.278	229.7072908
5115.4304	229.7072908
5115.5828	229.7135316
5115.7352	229.7072908
5115.8876	229.7072908
5116.04	229.7072908
5116.1924	229.7135316
5116.3448	229.7072908
5116.4972	229.7072908
5116.6496	229.7135316
5116.802	229.7072908
5116.9544	229.7072908
5117.1068	229.7072908
5117.2592	229.7135316
5117.4116	229.7072908
5117.564	229.7072908
5117.7164	229.7072908
5117.8688	229.7135316
5118.0212	229.7072908
5118.1736	229.7072908
5118.326	229.7135316
5118.4784	229.7072908
5118.6308	229.7072908
5118.7832	229.7072908
5118.9356	229.7135316
5119.088	229.7072908
5119.2404	229.7072908
5119.3928	229.7072908
5119.5452	229.7135316
5119.6976	229.7072908
5119.85	229.7072908
5120.0024	229.7135316
5120.1548	229.7072908
5120.3072	229.7072908
5120.4596	229.7072908
5120.612	229.7135316
5120.7644	229.7072908
5120.9168	229.7072908
5121.0692	229.7135316
5121.2216	229.7072908
5121.374	229.7072908
5121.5264	229.7072908
5121.6788	229.7135316
5121.8312	229.7072908
5121.9836	229.7072908
5122.136	229.7072908
5122.2884	229.7135316
5122.4408	229.7072908
5122.5932	229.7072908
5122.7456	229.7135316
5122.898	229.7072908
5123.0504	229.7072908
5123.2028	229.7072908
5123.3552	229.7135316
5123.5076	229.7072908
5123.66	229.7072908
5123.8124	229.7072908
5123.9648	229.7135316
5124.1172	229.7072908
5124.2696	229.7072908
5124.422	229.7135316
5124.5744	229.7072908
5124.7268	229.7072908
5124.8792	229.7072908
5125.0316	229.7135316
5125.184	229.7072908
5125.3364	229.7072908
5125.4888	229.7072908
5125.6412	229.7135316
5125.7936	229.7072908
5125.946	229.7072908
5126.0984	229.7135316
5126.2508	229.7072908
5126.4032	229.7072908
5126.5556	229.7072908
5126.708	229.7135316
5126.8604	229.7072908
5127.0128	229.7072908
5127.1652	229.7072908
5127.3176	229.7135316
5127.47	229.7072908
5127.6224	229.7072908
5127.7748	229.7135316
5127.9272	229.7072908
5128.0796	229.7072908
5128.232	229.7072908
5128.3844	229.7135316
5128.5368	229.7072908
5128.6892	229.7072908
5128.8416	229.7072908
5128.994	229.7135316
5129.1464	229.7072908
5129.2988	229.7072908
5129.4512	229.7135316
5129.6036	229.7072908
5129.756	229.7072908
5129.9084	229.7072908
5130.0608	229.7135316
5130.2132	229.7072908
5130.3656	229.7072908
5130.518	229.7072908
5130.6704	229.7135316
5130.8228	229.7072908
5130.9752	229.7072908
5131.1276	229.7135316
5131.28	229.7072908
5131.4324	229.7072908
5131.5848	229.7072908
5131.7372	229.7135316
5131.8896	229.7072908
5132.042	229.7072908
5132.1944	229.7072908
5132.3468	229.7135316
5132.4992	229.7072908
5132.6516	229.7072908
5132.804	229.7135316
5132.9564	229.7072908
5133.1088	229.7072908
5133.2612	229.7072908
5133.4136	229.7135316
5133.566	229.7072908
5133.7184	229.7072908
5133.8708	229.7135316
5134.0232	229.7072908
5134.1756	229.7072908
5134.328	229.7072908
5134.4804	229.7135316
5134.6328	229.7072908
5134.7852	229.7072908
5134.9376	229.7072908
5135.09	229.7135316
5135.2424	229.7072908
5135.3948	229.7072908
5135.5472	229.7135316
5135.6996	229.7072908
5135.852	229.7072908
5136.0044	229.7072908
5136.1568	229.7135316
5136.3092	229.7072908
5136.4616	229.7072908
5136.614	229.7072908
5136.7664	229.7135316
5136.9188	229.7072908
5137.0712	229.7072908
5137.2236	229.7135316
5137.376	229.7072908
5137.5284	229.7072908
5137.6808	229.7072908
5137.8332	229.7135316
5137.9856	229.7072908
5138.138	229.7072908
5138.2904	229.7072908
5138.4428	229.7135316
5138.5952	229.7072908
5138.7476	229.7072908
5138.9	229.7135316
5139.0524	229.7072908
5139.2048	229.7072908
5139.3572	229.7072908
5139.5096	229.7135316
5139.662	229.7072908
5139.8144	229.7072908
5139.9668	229.7072908
5140.1192	229.7135316
5140.2716	229.7072908
5140.424	229.7072908
5140.5764	229.7135316
5140.7288	229.7072908
5140.8812	229.7072908
5141.0336	229.7072908
5141.186	229.7135316
5141.3384	229.7072908
5141.4908	229.7072908
5141.6432	229.7072908
5141.7956	229.7135316
5141.948	229.7072908
5142.1004	229.7072908
5142.2528	229.7135316
5142.4052	229.7072908
5142.5576	229.7072908
5142.71	229.7072908
5142.8624	229.7135316
5143.0148	229.7072908
5143.1672	229.7072908
5143.3196	229.7072908
5143.472	229.7135316
5143.6244	229.7072908
5143.7768	229.7072908
5143.9292	229.7135316
5144.0816	229.7072908
5144.234	229.7072908
5144.3864	229.7072908
5144.5388	229.7135316
5144.6912	229.7072908
5144.8436	229.7072908
5144.996	229.7135316
5145.1484	229.7072908
5145.3008	229.7072908
5145.4532	229.7072908
5145.6056	229.7135316
5145.758	229.7072908
5145.9104	229.7072908
5146.0628	229.7072908
5146.2152	229.7135316
5146.3676	229.7072908
5146.52	229.7072908
5146.6724	229.7135316
5146.8248	229.7072908
5146.9772	229.7072908
5147.1296	229.7072908
5147.282	229.7135316
5147.4344	229.7072908
5147.5868	229.7072908
5147.7392	229.7072908
5147.8916	229.7135316
5148.044	229.7072908
5148.1964	229.7072908
5148.3488	229.7135316
5148.5012	229.7072908
5148.6536	229.7072908
5148.806	229.7072908
5148.9584	229.7135316
5149.1108	229.7072908
5149.2632	229.7072908
5149.4156	229.7072908
5149.568	229.7135316
5149.7204	229.7072908
5149.8728	229.7072908
5150.0252	229.7135316
5150.1776	229.7072908
5150.33	229.7072908
5150.4824	229.7072908
5150.6348	229.7135316
5150.7872	229.7072908
5150.9396	229.7072908
5151.092	229.7072908
5151.2444	229.7135316
5151.3968	229.7072908
5151.5492	229.7072908
5151.7016	229.7135316
5151.854	229.7072908
5152.0064	229.7072908
5152.1588	229.7072908
5152.3112	229.7135316
5152.4636	229.7072908
5152.616	229.7072908
5152.7684	229.7072908
5152.9208	229.7135316
5153.0732	229.7072908
5153.2256	229.7072908
5153.378	229.7135316
5153.5304	229.7072908
5153.6828	229.7072908
5153.8352	229.7072908
5153.9876	229.7135316
5154.14	229.7072908
5154.2924	229.7072908
5154.4448	229.7072908
5154.5972	229.7135316
5154.7496	229.7072908
5154.902	229.7072908
5155.0544	229.7135316
5155.2068	229.7072908
5155.3592	229.7072908
5155.5116	229.7072908
5155.664	229.7135316
5155.8164	229.7072908
5155.9688	229.7072908
5156.1212	229.7072908
5156.2736	229.7135316
5156.426	229.7072908
5156.5784	229.7072908
5156.7308	229.7135316
5156.8832	229.7072908
5157.0356	229.7072908
5157.188	229.7072908
5157.3404	229.7135316
5157.4928	229.7072908
5157.6452	229.7072908
5157.7976	229.7135316
5157.95	229.7072908
5158.1024	229.7072908
5158.2548	229.7072908
5158.4072	229.7135316
5158.5596	229.7072908
5158.712	229.7072908
5158.8644	229.7072908
5159.0168	229.7135316
5159.1692	229.7072908
5159.3216	229.7072908
5159.474	229.7135316
5159.6264	229.7072908
5159.7788	229.7072908
5159.9312	229.7072908
5160.0836	229.7135316
5160.236	229.7072908
5160.3884	229.7072908
5160.5408	229.7072908
5160.6932	229.7135316
5160.8456	229.7072908
5160.998	229.7072908
5161.1504	229.7135316
5161.3028	229.7072908
5161.4552	229.7072908
5161.6076	229.7072908
5161.76	229.7135316
5161.9124	229.7072908
5162.0648	229.7072908
5162.2172	229.7072908
5162.3696	229.7135316
5162.522	229.7072908
5162.6744	229.7072908
5162.8268	229.7135316
5162.9792	229.7072908
5163.1316	229.7072908
5163.284	229.7072908
5163.4364	229.7135316
5163.5888	229.7072908
5163.7412	229.7072908
5163.8936	229.7072908
5164.046	229.7135316
5164.1984	229.7072908
5164.3508	229.7072908
5164.5032	229.7135316
5164.6556	229.7072908
5164.808	229.7072908
5164.9604	229.7072908
5165.1128	229.7135316
5165.2652	229.7072908
5165.4176	229.7072908
5165.57	229.7072908
5165.7224	229.7135316
5165.8748	229.7072908
5166.0272	229.7072908
5166.1796	229.7135316
5166.332	229.7072908
5166.4844	229.7072908
5166.6368	229.7072908
5166.7892	229.7135316
5166.9416	229.7072908
5167.094	229.7072908
5167.2464	229.7072908
5167.3988	229.7135316
5167.5512	229.7072908
5167.7036	229.7072908
5167.856	229.7135316
5168.0084	229.7072908
5168.1608	229.7072908
5168.3132	229.7072908
5168.4656	229.7135316
5168.618	229.7072908
5168.7704	229.7072908
5168.9228	229.7135316
5169.0752	229.7072908
5169.2276	229.7072908
5169.38	229.7072908
5169.5324	229.7135316
5169.6848	229.7072908
5169.8372	229.7072908
5169.9896	229.7072908
5170.142	229.7135316
5170.2944	229.7072908
5170.4468	229.7072908
5170.5992	229.7135316
5170.7516	229.7072908
5170.904	229.7072908
5171.0564	229.7072908
5171.2088	229.7135316
5171.3612	229.7072908
5171.5136	229.7072908
5171.666	229.7072908
5171.8184	229.7135316
5171.9708	229.7072908
5172.1232	229.7072908
5172.2756	229.7135316
5172.428	229.7072908
5172.5804	229.7072908
5172.7328	229.7072908
5172.8852	229.7135316
5173.0376	229.7072908
5173.19	229.7072908
5173.3424	229.7072908
5173.4948	229.7135316
5173.6472	229.7072908
5173.7996	229.7072908
5173.952	229.7135316
5174.1044	229.7072908
5174.2568	229.7072908
5174.4092	229.7072908
5174.5616	229.7135316
5174.714	229.7072908
5174.8664	229.7072908
5175.0188	229.7072908
5175.1712	229.7135316
5175.3236	229.7072908
5175.476	229.7072908
5175.6284	229.7135316
5175.7808	229.7072908
5175.9332	229.7072908
5176.0856	229.7072908
5176.238	229.7135316
5176.3904	229.7072908
5176.5428	229.7072908
5176.6952	229.7072908
5176.8476	229.7135316
5177	229.7072908
5177.1524	229.7072908
5177.3048	229.7135316
5177.4572	229.7072908
5177.6096	229.7072908
5177.762	229.7072908
5177.9144	229.7135316
5178.0668	229.7072908
5178.2192	229.7072908
5178.3716	229.7072908
5178.524	229.7135316
5178.6764	229.7072908
5178.8288	229.7072908
5178.9812	229.7135316
5179.1336	229.7072908
5179.286	229.7072908
5179.4384	229.7072908
5179.5908	229.7135316
5179.7432	229.7072908
5179.8956	229.7072908
5180.048	229.7072908
5180.2004	229.7135316
5180.3528	229.7072908
5180.5052	229.7072908
5180.6576	229.7135316
5180.81	229.7072908
5180.9624	229.7072908
5181.1148	229.7072908
5181.2672	229.7135316
5181.4196	229.7072908
5181.572	229.7072908
5181.7244	229.7135316
5181.8768	229.7072908
5182.0292	229.7072908
5182.1816	229.7072908
5182.334	229.7135316
5182.4864	229.7072908
5182.6388	229.7072908
5182.7912	229.7072908
5182.9436	229.7135316
5183.096	229.7072908
5183.2484	229.7072908
5183.4008	229.7135316
5183.5532	229.7072908
5183.7056	229.7072908
5183.858	229.7072908
5184.0104	229.7135316
5184.1628	229.7072908
5184.3152	229.7072908
5184.4676	229.7072908
5184.62	229.7135316
5184.7724	229.7072908
5184.9248	229.7072908
5185.0772	229.7135316
5185.2296	229.7072908
5185.382	229.7072908
5185.5344	229.7072908
5185.6868	229.7135316
5185.8392	229.7072908
5185.9916	229.7072908
5186.144	229.7072908
5186.2964	229.7135316
5186.4488	229.7072908
5186.6012	229.7072908
5186.7536	229.7135316
5186.906	229.7072908
5187.0584	229.7072908
5187.2108	229.7072908
5187.3632	229.7135316
5187.5156	229.7072908
5187.668	229.7072908
5187.8204	229.7072908
5187.9728	229.7135316
5188.1252	229.7072908
5188.2776	229.7072908
5188.43	229.7135316
5188.5824	229.7072908
5188.7348	229.7072908
5188.8872	229.7072908
5189.0396	229.7135316
5189.192	229.7072908
5189.3444	229.7072908
5189.4968	229.7072908
5189.6492	229.7135316
5189.8016	229.7072908
5189.954	229.7072908
5190.1064	229.7135316
5190.2588	229.7072908
5190.4112	229.7072908
5190.5636	229.7072908
5190.716	229.7135316
5190.8684	229.7072908
5191.0208	229.7072908
5191.1732	229.7072908
5191.3256	229.7135316
5191.478	229.7072908
5191.6304	229.7072908
5191.7828	229.7135316
5191.9352	229.7072908
5192.0876	229.7072908
5192.24	229.7072908
5192.3924	229.7135316
5192.5448	229.7072908
5192.6972	229.7072908
5192.8496	229.7135316
5193.002	229.7072908
5193.1544	229.7072908
5193.3068	229.7072908
5193.4592	229.7135316
5193.6116	229.7072908
5193.764	229.7072908
5193.9164	229.7072908
5194.0688	229.7135316
5194.2212	229.7072908
5194.3736	229.7072908
5194.526	229.7135316
5194.6784	229.7072908
5194.8308	229.7072908
5194.9832	229.7072908
5195.1356	229.7135316
5195.288	229.7072908
5195.4404	229.7072908
5195.5928	229.7072908
5195.7452	229.7135316
5195.8976	229.7072908
5196.05	229.7072908
5196.2024	229.7135316
5196.3548	229.7072908
5196.5072	229.7072908
5196.6596	229.7072908
5196.812	229.7135316
5196.9644	229.7072908
5197.1168	229.7072908
5197.2692	229.7072908
5197.4216	229.7135316
5197.574	229.7072908
5197.7264	229.7072908
5197.8788	229.7135316
5198.0312	229.7072908
5198.1836	229.7072908
5198.336	229.7072908
5198.4884	229.7135316
5198.6408	229.7072908
5198.7932	229.7072908
5198.9456	229.7072908
5199.098	229.7135316
5199.2504	229.7072908
5199.4028	229.7072908
5199.5552	229.7135316
5199.7076	229.7072908
5199.86	229.7072908
5200.0124	229.7072908
5200.1648	229.7135316
5200.3172	229.7072908
5200.4696	229.7072908
5200.622	229.7072908
5200.7744	229.7135316
5200.9268	229.7072908
5201.0792	229.7072908
5201.2316	229.7135316
5201.384	229.7072908
5201.5364	229.7072908
5201.6888	229.7072908
5201.8412	229.7135316
5201.9936	229.7072908
5202.146	229.7072908
5202.2984	229.7072908
5202.4508	229.7135316
5202.6032	229.7072908
5202.7556	229.7072908
5202.908	229.7135316
5203.0604	229.7072908
5203.2128	229.7072908
5203.3652	229.7072908
5203.5176	229.7135316
5203.67	229.7072908
5203.8224	229.7072908
5203.9748	229.7072908
5204.1272	229.7135316
5204.2796	229.7072908
5204.432	229.7072908
5204.5844	229.7135316
5204.7368	229.7072908
5204.8892	229.7072908
5205.0416	229.7072908
5205.194	229.7135316
5205.3464	229.7072908
5205.4988	229.7072908
5205.6512	229.7135316
5205.8036	229.7072908
5205.956	229.7072908
5206.1084	229.7072908
5206.2608	229.7135316
5206.4132	229.7072908
5206.5656	229.7072908
5206.718	229.7072908
5206.8704	229.7135316
5207.0228	229.7072908
5207.1752	229.7072908
5207.3276	229.7135316
5207.48	229.7072908
5207.6324	229.7072908
5207.7848	229.7072908
5207.9372	229.7135316
5208.0896	229.7072908
5208.242	229.7072908
5208.3944	229.7072908
5208.5468	229.7135316
5208.6992	229.7072908
5208.8516	229.7072908
5209.004	229.7135316
5209.1564	229.7072908
5209.3088	229.7072908
5209.4612	229.7072908
5209.6136	229.7135316
5209.766	229.7072908
5209.9184	229.7072908
5210.0708	229.7072908
5210.2232	229.7135316
5210.3756	229.7072908
5210.528	229.7072908
5210.6804	229.7135316
5210.8328	229.7072908
5210.9852	229.7072908
5211.1376	229.7072908
5211.29	229.7135316
5211.4424	229.7072908
5211.5948	229.7072908
5211.7472	229.7072908
5211.8996	229.7135316
5212.052	229.7072908
5212.2044	229.7072908
5212.3568	229.7135316
5212.5092	229.7072908
5212.6616	229.7072908
5212.814	229.7072908
5212.9664	229.7135316
5213.1188	229.7072908
5213.2712	229.7072908
5213.4236	229.7072908
5213.576	229.7135316
5213.7284	229.7072908
5213.8808	229.7072908
5214.0332	229.7135316
5214.1856	229.7072908
5214.338	229.7072908
5214.4904	229.7072908
5214.6428	229.7135316
5214.7952	229.7072908
5214.9476	229.7072908
5215.1	229.7072908
5215.2524	229.7135316
5215.4048	229.7072908
5215.5572	229.7072908
5215.7096	229.7135316
5215.862	229.7072908
5216.0144	229.7072908
5216.1668	229.7072908
5216.3192	229.7135316
5216.4716	229.7072908
5216.624	229.7072908
5216.7764	229.7135316
5216.9288	229.7072908
5217.0812	229.7072908
5217.2336	229.7072908
5217.386	229.7135316
5217.5384	229.7072908
5217.6908	229.7072908
5217.8432	229.7072908
5217.9956	229.7135316
5218.148	229.7072908
5218.3004	229.7072908
5218.4528	229.7135316
5218.6052	229.7072908
5218.7576	229.7072908
5218.91	229.7072908
5219.0624	229.7135316
5219.2148	229.7072908
5219.3672	229.7072908
5219.5196	229.7072908
5219.672	229.7135316
5219.8244	229.7072908
5219.9768	229.7072908
5220.1292	229.7135316
5220.2816	229.7072908
5220.434	229.7072908
5220.5864	229.7072908
5220.7388	229.7135316
5220.8912	229.7072908
5221.0436	229.7072908
5221.196	229.7072908
5221.3484	229.7135316
5221.5008	229.7072908
5221.6532	229.7072908
