Profundidade[m]	Taxa_de_sedimentacao[cm/ka]
5105.9816	
5106.134	3.829338158
5106.2864	3.829241941
5106.4388	3.829241941
5106.5912	3.829241941
5106.7436	3.829338158
5106.896	3.829241941
5107.0484	3.829241941
5107.2008	3.829338158
5107.3532	3.829241941
5107.5056	3.829241941
5107.658	3.829241941
5107.8104	3.829338158
5107.9628	3.829241941
5108.1152	3.829241941
5108.2676	3.829241941
5108.42	3.829338158
5108.5724	3.829241941
5108.7248	3.829241941
5108.8772	3.829338158
5109.0296	3.829241941
5109.182	3.829241941
5109.3344	3.829241941
5109.4868	3.829338158
5109.6392	3.829241941
5109.7916	3.829241941
5109.944	3.829338158
5110.0964	3.829241941
5110.2488	3.829241941
5110.4012	3.829241941
5110.5536	3.829338158
5110.706	3.829241941
5110.8584	3.829241941
5111.0108	3.829241941
5111.1632	3.829338158
5111.3156	3.829241941
5111.468	3.829241941
5111.6204	3.829338158
5111.7728	3.829241941
5111.9252	3.829241941
5112.0776	3.829241941
5112.23	3.829338158
5112.3824	3.829241941
5112.5348	3.829241941
5112.6872	3.829241941
5112.8396	3.829338158
5112.992	3.829241941
5113.1444	3.829241941
5113.2968	3.829338158
5113.4492	3.829241941
5113.6016	3.829241941
5113.754	3.829241941
5113.9064	3.829338158
5114.0588	3.829241941
5114.2112	3.829241941
5114.3636	3.829241941
5114.516	3.829338158
5114.6684	3.829241941
5114.8208	3.829241941
5114.9732	3.829338158
5115.1256	3.829241941
5115.278	3.829241941
5115.4304	3.829241941
5115.5828	3.829338158
5115.7352	3.829241941
5115.8876	3.829241941
5116.04	3.829241941
5116.1924	3.829338158
5116.3448	3.829241941
5116.4972	3.829241941
5116.6496	3.829338158
5116.802	3.829241941
5116.9544	3.829241941
5117.1068	3.829241941
5117.2592	3.829338158
5117.4116	3.829241941
5117.564	3.829241941
5117.7164	3.829241941
5117.8688	3.829338158
5118.0212	3.829241941
5118.1736	3.829241941
5118.326	3.829338158
5118.4784	3.829241941
5118.6308	3.829241941
5118.7832	3.829241941
5118.9356	3.829338158
5119.088	3.829241941
5119.2404	3.829241941
5119.3928	3.829241941
5119.5452	3.829338158
5119.6976	3.829241941
5119.85	3.829241941
5120.0024	3.829338158
5120.1548	3.829241941
5120.3072	3.829241941
5120.4596	3.829241941
5120.612	3.829338158
5120.7644	3.829241941
5120.9168	3.829241941
5121.0692	3.829338158
5121.2216	3.829241941
5121.374	3.829241941
5121.5264	3.829241941
5121.6788	3.829338158
5121.8312	3.829241941
5121.9836	3.829241941
5122.136	3.829241941
5122.2884	3.829338158
5122.4408	3.829241941
5122.5932	3.829241941
5122.7456	3.829338158
5122.898	3.829241941
5123.0504	3.829241941
5123.2028	3.829241941
5123.3552	3.829338158
5123.5076	3.829241941
5123.66	3.829241941
5123.8124	3.829241941
5123.9648	3.829338158
5124.1172	3.829241941
5124.2696	3.829241941
5124.422	3.829338158
5124.5744	3.829241941
5124.7268	3.829241941
5124.8792	3.829241941
5125.0316	3.829338158
5125.184	3.829241941
5125.3364	3.829241941
5125.4888	3.829241941
5125.6412	3.829338158
5125.7936	3.829241941
5125.946	3.829241941
5126.0984	3.829338158
5126.2508	3.829241941
5126.4032	3.829241941
5126.5556	3.829241941
5126.708	3.829338158
5126.8604	3.829241941
5127.0128	3.829241941
5127.1652	3.829241941
5127.3176	3.829338158
5127.47	3.829241941
5127.6224	3.829241941
5127.7748	3.829338158
5127.9272	3.829241941
5128.0796	3.829241941
5128.232	3.829241941
5128.3844	3.829338158
5128.5368	3.829241941
5128.6892	3.829241941
5128.8416	3.829241941
5128.994	3.829338158
5129.1464	3.829241941
5129.2988	3.829241941
5129.4512	3.829338158
5129.6036	3.829241941
5129.756	3.829241941
5129.9084	3.829241941
5130.0608	3.829338158
5130.2132	3.829241941
5130.3656	3.829241941
5130.518	3.829241941
5130.6704	3.829338158
5130.8228	3.829241941
5130.9752	3.829241941
5131.1276	3.829338158
5131.28	3.829241941
5131.4324	3.829241941
5131.5848	3.829241941
5131.7372	3.829338158
5131.8896	3.829241941
5132.042	3.829241941
5132.1944	3.829241941
5132.3468	3.829338158
5132.4992	3.829241941
5132.6516	3.829241941
5132.804	3.829338158
5132.9564	3.829241941
5133.1088	3.829241941
5133.2612	3.829241941
5133.4136	3.829338158
5133.566	3.829241941
5133.7184	3.829241941
5133.8708	3.829338158
5134.0232	3.829241941
5134.1756	3.829241941
5134.328	3.829241941
5134.4804	3.829338158
5134.6328	3.829241941
5134.7852	3.829241941
5134.9376	3.829241941
5135.09	3.829338158
5135.2424	3.829241941
5135.3948	3.829241941
5135.5472	3.829338158
5135.6996	3.829241941
5135.852	3.829241941
5136.0044	3.829241941
5136.1568	3.829338158
5136.3092	3.829241941
5136.4616	3.829241941
5136.614	3.829241941
5136.7664	3.829338158
5136.9188	3.829241941
5137.0712	3.829241941
5137.2236	3.829338158
5137.376	3.829241941
5137.5284	3.829241941
5137.6808	3.829241941
5137.8332	3.829338158
5137.9856	3.829241941
5138.138	3.829241941
5138.2904	3.829241941
5138.4428	3.829338158
5138.5952	3.829241941
5138.7476	3.829241941
5138.9	3.829338158
5139.0524	3.829241941
5139.2048	3.829241941
5139.3572	3.829241941
5139.5096	3.829338158
5139.662	3.829241941
5139.8144	3.829241941
5139.9668	3.829241941
5140.1192	3.829338158
5140.2716	3.829241941
5140.424	3.829241941
5140.5764	3.829338158
5140.7288	3.829241941
5140.8812	3.829241941
5141.0336	3.829241941
5141.186	3.829338158
5141.3384	3.829241941
5141.4908	3.829241941
5141.6432	3.829241941
5141.7956	3.829338158
5141.948	3.829241941
5142.1004	3.829241941
5142.2528	3.829338158
5142.4052	3.829241941
5142.5576	3.829241941
5142.71	3.829241941
5142.8624	3.829338158
5143.0148	3.829241941
5143.1672	3.829241941
5143.3196	3.829241941
5143.472	3.829338158
5143.6244	3.829241941
5143.7768	3.829241941
5143.9292	3.829338158
5144.0816	3.829241941
5144.234	3.829241941
5144.3864	3.829241941
5144.5388	3.829338158
5144.6912	3.829241941
5144.8436	3.829241941
5144.996	3.829338158
5145.1484	3.829241941
5145.3008	3.829241941
5145.4532	3.829241941
5145.6056	3.829338158
5145.758	3.829241941
5145.9104	3.829241941
5146.0628	3.829241941
5146.2152	3.829338158
5146.3676	3.829241941
5146.52	3.829241941
5146.6724	3.829338158
5146.8248	3.829241941
5146.9772	3.829241941
5147.1296	3.829241941
5147.282	3.829338158
5147.4344	3.829241941
5147.5868	3.829241941
5147.7392	3.829241941
5147.8916	3.829338158
5148.044	3.829241941
5148.1964	3.829241941
5148.3488	3.829338158
5148.5012	3.829241941
5148.6536	3.829241941
5148.806	3.829241941
5148.9584	3.829338158
5149.1108	3.829241941
5149.2632	3.829241941
5149.4156	3.829241941
5149.568	3.829338158
5149.7204	3.829241941
5149.8728	3.829241941
5150.0252	3.829338158
5150.1776	3.829241941
5150.33	3.829241941
5150.4824	3.829241941
5150.6348	3.829338158
5150.7872	3.829241941
5150.9396	3.829241941
5151.092	3.829241941
5151.2444	3.829338158
5151.3968	3.829241941
5151.5492	3.829241941
5151.7016	3.829338158
5151.854	3.829241941
5152.0064	3.829241941
5152.1588	3.829241941
5152.3112	3.829338158
5152.4636	3.829241941
5152.616	3.829241941
5152.7684	3.829241941
5152.9208	3.829338158
5153.0732	3.829241941
5153.2256	3.829241941
5153.378	3.829338158
5153.5304	3.829241941
5153.6828	3.829241941
5153.8352	3.829241941
5153.9876	3.829338158
5154.14	3.829241941
5154.2924	3.829241941
5154.4448	3.829241941
5154.5972	3.829338158
5154.7496	3.829241941
5154.902	3.829241941
5155.0544	3.829338158
5155.2068	3.829241941
5155.3592	3.829241941
5155.5116	3.829241941
5155.664	3.829338158
5155.8164	3.829241941
5155.9688	3.829241941
5156.1212	3.829241941
5156.2736	3.829338158
5156.426	3.829241941
5156.5784	3.829241941
5156.7308	3.829338158
5156.8832	3.829241941
5157.0356	3.829241941
5157.188	3.829241941
5157.3404	3.829338158
5157.4928	3.829241941
5157.6452	3.829241941
5157.7976	3.829338158
5157.95	3.829241941
5158.1024	3.829241941
5158.2548	3.829241941
5158.4072	3.829338158
5158.5596	3.829241941
5158.712	3.829241941
5158.8644	3.829241941
5159.0168	3.829338158
5159.1692	3.829241941
5159.3216	3.829241941
5159.474	3.829338158
5159.6264	3.829241941
5159.7788	3.829241941
5159.9312	3.829241941
5160.0836	3.829338158
5160.236	3.829241941
5160.3884	3.829241941
5160.5408	3.829241941
5160.6932	3.829338158
5160.8456	3.829241941
5160.998	3.829241941
5161.1504	3.829338158
5161.3028	3.829241941
5161.4552	3.829241941
5161.6076	3.829241941
5161.76	3.829338158
5161.9124	3.829241941
5162.0648	3.829241941
5162.2172	3.829241941
5162.3696	3.829338158
5162.522	3.829241941
5162.6744	3.829241941
5162.8268	3.829338158
5162.9792	3.829241941
5163.1316	3.829241941
5163.284	3.829241941
5163.4364	3.829338158
5163.5888	3.829241941
5163.7412	3.829241941
5163.8936	3.829241941
5164.046	3.829338158
5164.1984	3.829241941
5164.3508	3.829241941
5164.5032	3.829338158
5164.6556	3.829241941
5164.808	3.829241941
5164.9604	3.829241941
5165.1128	3.829338158
5165.2652	3.829241941
5165.4176	3.829241941
5165.57	3.829241941
5165.7224	3.829338158
5165.8748	3.829241941
5166.0272	3.829241941
5166.1796	3.829338158
5166.332	3.829241941
5166.4844	3.829241941
5166.6368	3.829241941
5166.7892	3.829338158
5166.9416	3.829241941
5167.094	3.829241941
5167.2464	3.829241941
5167.3988	3.829338158
5167.5512	3.829241941
5167.7036	3.829241941
5167.856	3.829338158
5168.0084	3.829241941
5168.1608	3.829241941
5168.3132	3.829241941
5168.4656	3.829338158
5168.618	3.829241941
5168.7704	3.829241941
5168.9228	3.829338158
5169.0752	3.829241941
5169.2276	3.829241941
5169.38	3.829241941
5169.5324	3.829338158
5169.6848	3.829241941
5169.8372	3.829241941
5169.9896	3.829241941
5170.142	3.829338158
5170.2944	3.829241941
5170.4468	3.829241941
5170.5992	3.829338158
5170.7516	3.829241941
5170.904	3.829241941
5171.0564	3.829241941
5171.2088	3.829338158
5171.3612	3.829241941
5171.5136	3.829241941
5171.666	3.829241941
5171.8184	3.829338158
5171.9708	3.829241941
5172.1232	3.829241941
5172.2756	3.829338158
5172.428	3.829241941
5172.5804	3.829241941
5172.7328	3.829241941
5172.8852	3.829338158
5173.0376	3.829241941
5173.19	3.829241941
5173.3424	3.829241941
5173.4948	3.829338158
5173.6472	3.829241941
5173.7996	3.829241941
5173.952	3.829338158
5174.1044	3.829241941
5174.2568	3.829241941
5174.4092	3.829241941
5174.5616	3.829338158
5174.714	3.829241941
5174.8664	3.829241941
