Profundidade COT IH IO OF_class
5105.9816 2.036713 279.572091 128.9207 1
5106.4816 1.995503 281.004376 128.202734 1
5106.9816 1.949212 280.147327 129.367656 1
5107.4816 1.728434 293.543823 123.158777 1
5107.9816 1.763324 292.236972 123.684454 1
5108.4816 1.945689 280.546542 129.255481 1
5108.9816 0.77507 391.356675 83.813832 1
5109.4816 1.610032 299.479822 120.771038 1
5109.9816 2.047107 280.55543 128.503838 1
5110.4816 2.062101 280.284404 128.492341 1
5110.9816 1.224176 326.210432 110.018725 1
5111.4816 1.965873 282.232087 127.708891 1
5111.9816 1.926415 284.488801 126.801134 1
5112.4816 2.012324 280.820024 128.276889 1
5112.9816 2.044798 279.531092 128.877952 1
5113.4816 2.053605 279.225901 128.922933 1
5113.9816 1.941537 283.660433 127.134343 1
5114.4816 1.928062 284.441997 126.819961 1
5114.9816 1.949755 284.160423 126.933223 1
5115.4816 1.729888 294.23145 122.882181 1
5115.9816 0.989289 354.33209 98.706867 1
5116.4816 1.293938 324.430407 110.734735 1
5116.9816 1.420597 314.494572 114.731397 1
5117.4816 1.387203 315.454762 114.345163 1
5117.9816 2.004016 280.539684 128.818126 1
5118.4816 1.649276 298.565749 121.138721 1
5118.9816 1.670228 295.815649 122.244941 1
5119.4816 1.80813 290.128272 124.532673 1
5119.9816 1.66577 296.490369 121.973537 1
5120.4816 1.434775 309.446507 116.761967 1
5120.9816 1.848733 288.608168 125.14413 1
5121.4816 1.266038 323.568077 111.081605 1
5121.9816 1.630359 298.600396 121.124785 1
5122.4816 1.938399 284.557577 126.773469 1
5122.9816 1.038846 348.157653 101.190517 1
5123.4816 1.753574 293.154595 123.315343 1
5123.9816 1.192918 332.577228 107.457699 2
5124.4816 1.653344 300.886723 120.205116 1
5124.9816 1.200431 337.021815 105.669877 2
5125.4816 1.781592 295.209055 122.488942 1
5125.9816 1.08071 354.659182 98.575295 1
5126.4816 0.635625 444.922065 62.267304 1
5126.9816 1.231989 334.907433 106.520381 1
5127.4816 1.341608 323.107648 111.266811 1
5127.9816 1.038005 357.85646 97.289199 1
5128.4816 0.537461 504.550494 38.281936 1
5128.9816 0.547384 496.530163 41.508092 1
5129.4816 1.071388 355.758692 98.13302 1
5129.9816 1.002199 366.0478 93.994256 1
5130.4816 0.977373 379.380573 88.631185 2
5130.9816 0.654117 459.917184 56.23556 1
5131.4816 1.224394 347.710042 101.370567 1
5131.9816 0.674203 455.176933 58.142313 1
5132.4816 0.563146 497.356162 41.175836 2
5132.9816 1.610761 312.58461 115.499674 1
5133.4816 0.906031 385.881035 86.016393 1
