TVD "Dry density"
4599.0992 1.482975
4599.2516 1.373535
4599.404 1.3673009999999999
4599.5564 1.4276820000000001
4599.7088 1.390547
4599.8612 1.4182549999999998
4600.0136 1.416563
4600.166 1.417105
4600.3184 1.4313470000000001
4600.4708 1.430701
4600.6232 1.374725
4600.7756 1.364317
4600.928 1.3686509999999998
4601.0804 1.343086
4601.2328 1.317407
4601.3852 1.233438
4601.5376 1.298235
4601.69 1.348061
4601.8424 1.343575
4601.9948 1.366187
4602.1472 1.3794330000000001
4602.2996 1.415048
4602.452 1.376718
4602.6044 1.3562249999999998
4602.7568 1.3507980000000002
4602.9092 1.3578729999999999
4603.0616 1.344433
4603.214 1.2464979999999999
4603.3664 1.2417630000000002
4603.5188 1.3582969999999999
4603.6712 1.37215
4603.8236 1.379616
4603.976 1.365257
4604.1284 1.357996
4604.2808 1.341726
4604.4332 1.356935
4604.5856 1.3757869999999999
4604.738 1.378055
4604.8904 1.408356
4605.0428 1.3805100000000001
4605.1952 1.3886610000000001
4605.3476 1.428538
4605.5 1.446034
4605.6524 1.434707
4605.8048 1.4120059999999999
4605.9572 1.4843739999999999
4606.1096 1.462183
4606.262 1.459381
4606.4144 1.4920550000000001
4606.5668 1.510033
4606.7192 1.476621
4606.8716 1.449907
4607.024 1.525822
4607.1764 1.536361
4607.3288 1.5670070000000003
4607.4812 1.581247
4607.6336 1.5879459999999999
4607.786 1.6158679999999999
4607.9384 1.6356020000000002
4608.0908 1.613069
4608.2432 1.672359
4608.3956 1.7332829999999997
4608.548 1.8218059999999998
4608.7004 1.884843
4608.8528 1.8149339999999998
4609.0052 1.772063
4609.1576 1.876351
4609.31 1.899996
4609.4624 1.7660629999999997
4609.6148 1.584309
4609.7672 1.5267190000000002
4609.9196 1.544625
4610.072 1.6812189999999998
4610.2244 1.883331
4610.3768 1.8128090000000001
4610.5292 1.796689
4610.6816 1.783181
4610.834 1.9196220000000002
4610.9864 1.9881829999999998
4611.1388 1.927727
4611.2912 1.850777
4611.4436 1.8378040000000002
4611.596 1.8413529999999998
4611.7484 1.8636080000000002
4611.9008 1.912773
4612.0532 1.9626190000000001
4612.2056 1.931061
4612.358 1.832084
4612.5104 1.7975209999999997
4612.6628 1.917372
4612.8152 2.029209
4612.9676 2.03675
4613.12 2.059429
4613.2724 2.087791
4613.4248 2.110406
4613.5772 2.1666689999999997
4613.7296 2.211124
4613.882 2.2284110000000004
4614.0344 2.2306749999999997
4614.1868 2.209427
4614.3392 2.1906929999999996
4614.4916 2.195583
4614.644 2.2204900000000003
4614.7964 2.231627
4614.9488 2.192364
4615.1012 2.178318
4615.2536 2.1682
