Profundidade [m]	Densidade Aparente Seca [g/cm³]
5000.0636	2.306434
5000.216	2.2954090000000003
5000.3684	2.2928029999999997
5000.5208	2.296147
5000.6732	2.291881
5000.8256	2.274255
5000.978	2.278155
5001.1304	2.2959
5001.2828	2.297512
5001.4352	2.316394
5001.5876	2.316964
5001.74	2.3098579999999997
5001.8924	2.298752
5002.0448	2.3021130000000003
5002.1972	2.293733
5002.3496	2.280204
5002.502	2.280819
5002.6544	2.295741
5002.8068	2.301233
5002.9592	2.305599
5003.1116	2.3051660000000003
5003.264	2.3025670000000003
5003.4164	2.3073949999999996
5003.5688	2.308075
5003.7212	2.297209
5003.8736	2.296988
5004.026	2.28863
5004.1784	2.279229
5004.3308	2.288245
5004.4832	2.305928
5004.6356	2.31154
5004.788	2.306592
5004.9404	2.3120190000000003
5005.0928	2.3256569999999996
5005.2452	2.29347
5005.3976	2.286669
5005.55	2.262795
5005.7024	2.272439
5005.8548	2.282645
5006.0072	2.2944690000000003
5006.1596	2.3128070000000003
5006.312	2.30206
5006.4644	2.3062970000000003
5006.6168	2.3467689999999997
5006.7692	2.3623410000000002
5006.9216	2.3453139999999997
5007.074	2.329322
5007.2264	2.31746
5007.3788	2.344526
5007.5312	2.393977
5007.6836	2.4640560000000002
5007.836	2.446493
5007.9884	2.379537
5008.1408	2.3048460000000004
5008.2932	2.287189
5008.4456	2.266412
5008.598	2.286604
5008.7504	2.3105249999999997
5008.9028	2.324065
5009.0552	2.325553
5009.2076	2.3218059999999996
5009.36	2.3226340000000003
5009.5124	2.33523
5009.6648	2.332496
5009.8172	2.3171600000000003
5009.9696	2.310352
5010.122	2.304034
5010.2744	2.311965
5010.4268	2.316147
5010.5792	2.313772
5010.7316	2.320103
5010.884	2.318097
5011.0364	2.321763
5011.1888	2.352617
5011.3412	2.3626959999999997
5011.4936	2.353648
5011.646	2.344189
5011.7984	2.3475819999999996
5011.9508	2.344901
5012.1032	2.333261
5012.2556	2.3403020000000003
5012.408	2.333554
5012.5604	2.3350530000000003
5012.7128	2.3381489999999996
5012.8652	2.342619
5013.0176	2.330491
5013.17	2.317354
5013.3224	2.3170390000000003
5013.4748	2.3259950000000003
5013.6272	2.34303
5013.7796	2.370266
5013.932	2.3785819999999998
5014.0844	2.3582129999999997
5014.2368	2.3471290000000002
5014.3892	2.321904
5014.5416	2.3054180000000004
5014.694	2.2886279999999997
5014.8464	2.275415
5014.9988	2.289231
5015.1512	2.292449
5015.3036	2.286201
5015.456	2.2935779999999997
5015.6084	2.3061949999999998
5015.7608	2.323146
5015.9132	2.323748
5016.0656	2.323098
5016.218	2.327811
5016.3704	2.319875
5016.5228	2.2935410000000003
5016.6752	2.2989919999999997
5016.8276	2.283336
5016.98	2.2811
5017.1324	2.2866709999999997
5017.2848	2.304262
5017.4372	2.3018
5017.5896	2.321207
5017.742	2.3245099999999996
5017.8944	2.311759
5018.0468	2.292665
5018.1992	2.3016769999999998
5018.3516	2.297635
5018.504	2.3044949999999997
5018.6564	2.295119
5018.8088	2.279001
5018.9612	2.26075
5019.1136	2.256916
5019.266	2.259168
5019.4184	2.266032
5019.5708	2.27912
5019.7232	2.278656
5019.8756	2.274017
5020.028	2.2652940000000004
5020.1804	2.263327
5020.3328	2.267609
5020.4852	2.290706
5020.6376	2.3105320000000003
5020.79	2.327174
5020.9424	2.293094
5021.0948	2.258502
5021.2472	2.2499670000000003
5021.3996	2.2286460000000003
5021.552	2.243455
5021.7044	2.268052
5021.8568	2.295674
5022.0092	2.3185269999999996
5022.1616	2.304107
5022.314	2.315875
5022.4664	2.318331
5022.6188	2.346455
5022.7712	2.343197
5022.9236	2.335587
5023.076	2.3349800000000003
5023.2284	2.338044
5023.3808	2.338807
5023.5332	2.3341719999999997
5023.6856	2.330393
5023.838	2.328351
5023.9904	2.3354480000000004
5024.1428	2.352168
5024.2952	2.354372
5024.4476	2.356967
5024.6	2.3548210000000003
5024.7524	2.3450680000000004
5024.9048	2.3346349999999996
5025.0572	2.3274399999999997
5025.2096	2.330765
5025.362	2.340443
5025.5144	2.349939
5025.6668	2.3457689999999998
5025.8192	2.350981
5025.9716	2.356478
5026.124	2.344205
5026.2764	2.352994
5026.4288	2.354366
5026.5812	2.3496799999999998
5026.7336	2.35277
5026.886	2.3356130000000004
5027.0384	2.296678
5027.1908	2.280951
5027.3432	2.296742
5027.4956	2.324256
5027.648	2.3248670000000002
5027.8004	2.345408
5027.9528	2.3497109999999997
5028.1052	2.341807
5028.2576	2.321867
5028.41	2.307614
5028.5624	2.3055239999999997
5028.7148	2.3069450000000002
5028.8672	2.312951
5029.0196	2.327632
5029.172	2.331053
5029.3244	2.3346109999999998
5029.4768	2.3301510000000003
5029.6292	2.316032
5029.7816	2.3106229999999996
5029.934	2.298167
5030.0864	2.306326
5030.2388	2.327487
5030.3912	2.354039
5030.5436	2.352977
5030.696	2.364939
5030.8484	2.348038
5031.0008	2.319999
5031.1532	2.315871
5031.3056	2.318278
5031.458	2.321161
5031.6104	2.3177790000000003
5031.7628	2.3334330000000003
5031.9152	2.354603
5032.0676	2.3476610000000004
5032.22	2.34849
5032.3724	2.341623
5032.5248	2.353266
5032.6772	2.3533910000000002
5032.8296	2.359013
5032.982	2.337765
5033.1344	2.321457
5033.2868	2.336649
5033.4392	2.3535709999999996
5033.5916	2.3470649999999997
5033.744	2.336392
5033.8964	2.343226
5034.0488	2.350842
5034.2012	2.364462
5034.3536	2.335933
5034.506	2.305854
5034.6584	2.319953
5034.8108	2.350213
5034.9632	2.350403
5035.1156	2.3608279999999997
5035.268	2.347271
5035.4204	2.330835
5035.5728	2.326023
5035.7252	2.3151650000000004
5035.8776	2.315078
5036.03	2.313322
5036.1824	2.324449
5036.3348	2.3230980000000003
5036.4872	2.3096949999999996
5036.6396	2.297515
5036.792	2.307937
5036.9444	2.319052
5037.0968	2.315441
5037.2492	2.299994
5037.4016	2.3186329999999997
5037.554	2.3329609999999996
5037.7064	2.3378330000000003
5037.8588	2.331734
5038.0112	2.326546
5038.1636	2.3150310000000003
5038.316	2.317576
5038.4684	2.3245579999999997
5038.6208	2.323817
5038.7732	2.3123970000000003
5038.9256	2.312022
5039.078	2.299633
5039.2304	2.307572
5039.3828	2.321832
5039.5352	2.325619
5039.6876	2.3373549999999996
5039.84	2.346642
5039.9924	2.349708
5040.1448	2.347664
5040.2972	2.342437
5040.4496	2.3566320000000003
5040.602	2.356186
5040.7544	2.340099
5040.9068	2.351601
5041.0592	2.3701239999999997
5041.2116	2.364371
5041.364	2.338072
5041.5164	2.329835
5041.6688	2.311381
5041.8212	2.312419
5041.9736	2.327194
5042.126	2.334112
5042.2784	2.3406580000000003
5042.4308	2.347759
5042.5832	2.34736
5042.7356	2.345374
5042.888	2.3483709999999998
5043.0404	2.34248
5043.1928	2.350454
5043.3452	2.347714
5043.4976	2.350322
5043.65	2.349586
5043.8024	2.3455559999999998
5043.9548	2.3378650000000003
5044.1072	2.3319
5044.2596	2.3357580000000002
5044.412	2.34374
5044.5644	2.3498609999999998
