Profundidade [m]	Densidade Aparente Seca [g/cm³]
5328.0284	2.338801
5328.1808	2.279277
5328.3332	2.286977
5328.4856	2.307394
5328.638	2.3084290000000003
5328.7904	2.303207
5328.9428	2.304182
5329.0952	2.317394
5329.2476	2.336669
5329.4	2.354404
5329.5524	2.412739
5329.7048	2.438825
5329.8572	2.44435
5330.0096	2.430546
5330.162	2.412925
5330.3144	2.3938699999999997
5330.4668	2.3602
5330.6192	2.353191
5330.7716	2.372524
5330.924	2.391648
5331.0764	2.415707
5331.2288	2.4448549999999996
5331.3812	2.455743
5331.5336	2.458265
5331.686	2.4481840000000004
5331.8384	2.4291929999999997
5331.9908	2.398173
5332.1432	2.387796
5332.2956	2.3809519999999997
5332.448	2.35693
5332.6004	2.3497440000000003
5332.7528	2.35175
5332.9052	2.360955
5333.0576	2.3905719999999997
5333.21	2.401087
5333.3624	2.402828
5333.5148	2.3949320000000003
5333.6672	2.409785
5333.8196	2.408436
5333.972	2.3547659999999997
5334.1244	2.327591
5334.2768	2.346307
5334.4292	2.352926
5334.5816	2.3446070000000003
5334.734	2.249946
5334.8864	1.999521
5335.0388	1.8686150000000001
5335.1912	1.9487880000000002
5335.3436	2.1153950000000004
5335.496	2.228357
5335.6484	2.311248
5335.8008	2.326739
5335.9532	2.328553
5336.1056	2.346783
5336.258	2.391023
5336.4104	2.4169680000000002
5336.5628	2.413128
5336.7152	2.394711
5336.8676	2.378425
5337.02	2.3692979999999997
5337.1724	2.382508
5337.3248	2.425587
5337.4772	2.5105600000000003
5337.6296	2.5385090000000003
5337.782	2.5064689999999996
5337.9344	2.511966
5338.0868	2.575579
5338.2392	2.5794420000000002
5338.3916	2.5749809999999997
5338.544	2.583247
5338.6964	2.595291
5338.8488	2.602747
5339.0012	2.596357
5339.1536	2.5876599999999996
5339.306	2.5888269999999998
5339.4584	2.584891
5339.6108	2.579898
5339.7632	2.591186
5339.9156	2.596875
5340.068	2.557892
5340.2204	2.4944659999999996
5340.3728	2.414572
5340.5252	2.387012
5340.6776	2.39421
5340.83	2.445357
5340.9824	2.529621
5341.1348	2.5437089999999998
5341.2872	2.4990390000000002
5341.4396	2.4709309999999998
5341.592	2.453251
5341.7444	2.439689
5341.8968	2.439826
5342.0492	2.429092
5342.2016	2.4256249999999997
5342.354	2.405887
5342.5064	2.388379
5342.6588	2.399654
5342.8112	2.431278
5342.9636	2.499876
5343.116	2.533233
5343.2684	2.5458860000000003
5343.4208	2.553483
5343.5732	2.5668
5343.7256	2.569401
5343.878	2.58672
5344.0304	2.60137
5344.1828	2.599
5344.3352	2.599401
5344.4876	2.609769
5344.64	2.612796
5344.7924	2.621397
5344.9448	2.649372
5345.0972	2.6521220000000003
5345.2496	2.637071
5345.402	2.628351
5345.5544	2.5847350000000002
5345.7068	2.550283
5345.8592	2.515089
5346.0116	2.447127
5346.164	2.2559150000000003
5346.3164	2.147326
5346.4688	2.150663
5346.6212	2.234138
5346.7736	2.358641
5346.926	2.444064
5347.0784	2.483076
5347.2308	2.5027839999999997
5347.3832	2.5427079999999997
5347.5356	2.5681160000000003
5347.688	2.537512
5347.8404	2.4913149999999997
5347.9928	2.450929
5348.1452	2.387747
5348.2976	2.384412
5348.45	2.471647
5348.6024	2.520609
5348.7548	2.598001
5348.9072	2.6353160000000004
5349.0596	2.654395
5349.212	2.643604
5349.3644	2.6080609999999997
5349.5168	2.579332
5349.6692	2.565832
5349.8216	2.558007
5349.974	2.499429
5350.1264	2.42394
5350.2788	2.32227
5350.4312	2.275232
5350.5836	2.281582
5350.736	2.335582
5350.8884	2.470361
5351.0408	2.538335
5351.1932	2.56631
5351.3456	2.560014
5351.498	2.5300770000000004
5351.6504	2.451549
5351.8028	2.435341
5351.9552	2.4968990000000004
5352.1076	2.5335490000000003
5352.26	2.549898
5352.4124	2.549412
5352.5648	2.5619769999999997
5352.7172	2.566077
5352.8696	2.551059
5353.022	2.5323439999999997
5353.1744	2.5266219999999997
5353.3268	2.518096
5353.4792	2.449012
5353.6316	2.3828970000000003
5353.784	2.368229
5353.9364	2.4382789999999996
5354.0888	2.545811
5354.2412	2.590856
5354.3936	2.6079779999999997
5354.546	2.60871
5354.6984	2.606786
5354.8508	2.575031
5355.0032	2.5568869999999997
5355.1556	2.565851
5355.308	2.59287
5355.4604	2.591167
5355.6128	2.562283
5355.7652	2.5498689999999997
5355.9176	2.578287
5356.07	2.622532
5356.2224	2.6432439999999997
5356.3748	2.638121
5356.5272	2.613339
5356.6796	2.558387
5356.832	2.516741
5356.9844	2.495609
5357.1368	2.503546
5357.2892	2.568874
5357.4416	2.596883
5357.594	2.6050269999999998
5357.7464	2.5978
5357.8988	2.587313
5358.0512	2.575634
5358.2036	2.590724
5358.356	2.627114
5358.5084	2.651586
5358.6608	2.668766
5358.8132	2.660686
5358.9656	2.651589
5359.118	2.650399
5359.2704	2.639417
5359.4228	2.631937
5359.5752	2.633314
5359.7276	2.6401190000000003
5359.88	2.645353
5360.0324	2.6475370000000003
5360.1848	2.6534050000000002
5360.3372	2.65758
5360.4896	2.661874
5360.642	2.659738
5360.7944	2.6558279999999996
5360.9468	2.636381
5361.0992	2.616475
5361.2516	2.582392
5361.404	2.5732340000000002
5361.5564	2.58399
5361.7088	2.5796940000000004
5361.8612	2.595303
5362.0136	2.613836
5362.166	2.61884
5362.3184	2.617427
5362.4708	2.6190320000000002
5362.6232	2.625012
5362.7756	2.605925
5362.928	2.561468
5363.0804	2.4788769999999998
5363.2328	2.4679390000000003
5363.3852	2.5386699999999998
5363.5376	2.58209
5363.69	2.598102
5363.8424	2.579987
5363.9948	2.545805
5364.1472	2.511231
5364.2996	2.5275480000000003
5364.452	2.5015829999999997
5364.6044	2.506062
5364.7568	2.598157
5364.9092	2.622829
5365.0616	2.60463
5365.214	2.604242
5365.3664	2.612064
5365.5188	2.607034
5365.6712	2.5901530000000004
5365.8236	2.572838
5365.976	2.580189
5366.1284	2.591181
5366.2808	2.5974209999999998
5366.4332	2.604828
5366.5856	2.579657
5366.738	2.497785
5366.8904	2.354467
5367.0428	2.370831
5367.1952	2.412169
5367.3476	2.4626
5367.5	2.4734489999999996
5367.6524	2.41993
5367.8048	2.4228289999999997
5367.9572	2.536101
5368.1096	2.581138
5368.262	2.59637
5368.4144	2.5895960000000002
5368.5668	2.580486
5368.7192	2.587031
5368.8716	2.590125
5369.024	2.579485
5369.1764	2.553167
5369.3288	2.531596
5369.4812	2.52038
5369.6336	2.521806
5369.786	2.4729389999999998
5369.9384	2.41039
5370.0908	2.35292
5370.2432	2.3535719999999998
5370.3956	2.36358
5370.548	2.381605
5370.7004	2.390518
5370.8528	2.385025
5371.0052	2.414459
5371.1576	2.564375
5371.31	2.6047450000000003
5371.4624	2.6025370000000003
5371.6148	2.6011219999999997
5371.7672	2.597471
5371.9196	2.5865850000000004
5372.072	2.5018800000000003
5372.2244	2.3900829999999997
5372.3768	2.336063
5372.5292	2.276655
5372.6816	2.21385
5372.834	2.274845
5372.9864	2.417427
5373.1388	2.48313
5373.2912	2.485541
5373.4436	2.46437
5373.596	2.465828
5373.7484	2.517378
5373.9008	2.55518
5374.0532	2.595919
5374.2056	2.602219
5374.358	2.600703
5374.5104	2.5761420000000004
5374.6628	2.4395339999999996
5374.8152	2.328569
5374.9676	2.3091619999999997
5375.12	2.3968030000000002
5375.2724	2.4289129999999997
5375.4248	2.379145
5375.5772	2.317963
5375.7296	2.326288
5375.882	2.418722
5376.0344	2.4712379999999996
5376.1868	2.5144970000000004
5376.3392	2.5349150000000003
5376.4916	2.52535
5376.644	2.317931
5376.7964	2.168884
5376.9488	2.147816
5377.1012	2.245143
5377.2536	2.4210510000000003
5377.406	2.467438
5377.5584	2.4588840000000003
